,UF,Area
0,DF,660451.155100002
1,AL,2420763.3472000035
2,SE,2440926.7330002743
3,RJ,4217146.647700005
4,ES,4872223.683599203
5,RN,5132805.448400005
6,PB,5460333.47460009
7,SC,9774979.717697248
8,AP,13425746.067399938
9,AC,14670332.956800042
10,RR,22928429.479700293
11,CE,23617733.91880238
12,SP,24599513.205108
13,PI,26403856.271799814
14,RS,28834731.96340391
15,TO,36920997.7973993
16,MS,41092625.323399834
17,RO,41594617.28460394
18,PR,52132778.40258167
19,GO,56151414.50611291
20,MG,64401875.44623629
21,BA,68934076.09219311
22,MA,70680648.66649935
23,PE,72977630.33939677
24,AM,119296929.77339993
25,PA,124866668.06530018
26,MT,135426183.18660173
